tiempo,voltaje
253.819,-224.657
253.828,-226.281
253.846,-176.064
253.848,-256.248
253.857,-171.474
253.870,-225.343
253.877,-227.085
253.887,-175.260
253.905,-255.846
253.907,-170.804
253.919,-224.657
253.929,-227.638
253.936,-175.126
253.956,-256.516
253.958,-171.876
253.969,-225.209
253.978,-228.576
253.986,-175.528
253.996,-256.114
254.014,-171.340
254.017,-223.853
254.028,-228.174
254.038,-174.724
254.046,-255.846
254.064,-172.010
254.068,-223.853
254.077,-228.576
254.086,-174.992
254.096,-256.114
254.106,-172.429
254.122,-223.853
254.127,-229.514
254.137,-173.903
254.148,-255.846
254.156,-171.608
254.172,-223.317
254.178,-229.933
254.187,-173.501
254.197,-255.980
254.206,-172.010
254.217,-222.764
254.231,-229.933
254.240,-173.769
254.247,-255.578
254.256,-172.429
254.267,-221.826
254.279,-229.782
254.292,-173.099
254.297,-255.578
254.309,-172.563
254.316,-222.362
254.326,-230.335
254.340,-173.769
254.346,-255.176
254.357,-172.429
254.366,-221.692
254.376,-230.603
254.387,-173.099
254.400,-255.846
254.409,-173.367
254.417,-221.826
254.426,-231.273
254.447,-173.233
254.449,-254.891
254.458,-173.233
254.467,-221.290
254.478,-231.139
254.494,-172.429
254.497,-255.176
254.509,-173.367
254.520,-221.290
254.527,-231.809
254.537,-172.831
254.556,-255.712
254.558,-173.769
254.570,-221.290
254.580,-232.228
254.588,-172.563
254.607,-255.578
254.609,-174.171
254.618,-220.620
254.627,-232.496
254.639,-171.742
254.646,-254.087
254.666,-173.099
254.668,-219.397
254.681,-232.077
254.691,-171.206
254.698,-254.355
254.706,-173.769
254.717,-220.335
254.730,-233.300
254.740,-171.474
254.748,-254.623
254.757,-173.769
254.775,-219.531
254.777,-233.568
254.786,-171.072
254.799,-254.891
254.808,-174.037
254.826,-219.531
254.829,-233.836
254.839,-171.206
254.851,-254.087
254.859,-175.260
254.866,-219.397
254.876,-234.104
254.886,-170.938
254.899,-254.355
254.908,-174.590
254.916,-218.727
254.927,-234.238
254.948,-170.670
254.949,-254.087
254.960,-175.394
254.966,-218.727
254.978,-234.791
254.987,-170.402
255.008,-254.087
255.009,-175.796
255.018,-218.459
255.027,-235.059
255.038,-170.402
255.056,-254.489
255.057,-176.064
255.066,-217.772
255.080,-235.461
255.087,-170.134
255.096,-253.417
255.114,-175.662
255.120,-184.975
255.127,-236.131
255.139,-169.581
255.149,-253.551
255.156,-176.332
255.170,-217.638
255.180,-236.817
255.186,-170.134
255.198,-254.087
255.207,-176.734
255.216,-216.968
255.226,-236.131
255.240,-169.581
255.249,-253.283
255.257,-177.152
255.268,-216.834
255.276,-237.085
255.288,-169.447
255.297,-253.819
255.308,-177.554
255.318,-216.968
255.326,-237.621
255.347,-169.447
255.349,-253.685
255.358,-177.420
255.367,-216.968
255.378,-237.889
255.401,-165.260
255.401,-253.685
255.406,-177.286
255.416,-215.879
255.426,-238.157
255.436,-169.447
255.446,-253.283
255.456,-178.090
255.471,-216.030
255.477,-237.889
255.487,-168.241
255.496,-252.730
255.507,-178.090
255.520,-216.030
255.528,-238.291
255.538,-169.045
255.546,-252.462
255.556,-178.358
255.566,-215.343
255.579,-238.827
255.589,-168.643
255.598,-252.881
255.609,-178.760
255.616,-214.941
255.628,-238.559
255.637,-168.241
255.648,-252.462
255.658,-179.179
255.667,-214.941
255.687,-239.112
255.688,-168.107
255.697,-252.328
255.707,-178.626
255.718,-214.941
255.730,-240.050
255.737,-167.839
255.748,-251.658
255.757,-179.447
255.769,-212.647
255.776,-239.916
255.797,-169.581
255.798,-251.658
255.808,-179.581
255.817,-212.647
255.828,-239.916
255.836,-167.839
255.849,-251.926
255.858,-179.849
255.867,-212.647
255.879,-240.586
255.886,-167.973
255.904,-251.792
255.906,-180.117
255.919,-212.245
255.928,-240.586
255.936,-167.839
255.956,-251.524
255.957,-180.117
255.969,-212.379
255.980,-241.256
255.987,-167.420
255.996,-251.524
256.007,-180.385
256.027,-212.647
256.029,-241.407
256.039,-167.286
256.047,-251.524
256.059,-180.921
256.066,-212.245
256.076,-242.211
256.090,-167.973
256.096,-251.524
256.107,-180.921
256.116,-211.575
256.136,-242.077
256.137,-167.286
256.149,-251.524
256.158,-181.742
256.167,-211.156
256.184,-242.077
256.186,-167.286
256.198,-251.524
256.208,-182.010
256.216,-210.620
256.227,-242.211
256.245,-166.482
256.246,-251.524
256.258,-182.278
256.269,-211.022
256.276,-242.747
256.295,-166.616
256.297,-250.302
256.308,-181.876
256.318,-209.950
256.326,-242.211
256.336,-166.348
256.354,-250.988
256.358,-182.412
256.366,-210.218
256.376,-242.881
256.387,-166.884
256.403,-250.168
256.407,-182.278
256.418,-209.816
256.427,-242.881
256.436,-166.348
256.446,-250.586
256.462,-182.278
256.467,-209.414
256.477,-243.283
256.486,-166.348
256.497,-250.586
256.509,-182.412
256.519,-209.280
256.527,-243.149
256.537,-165.946
256.546,-250.168
256.556,-183.216
256.567,-208.995
256.579,-243.551
256.587,-165.544
256.598,-249.363
256.606,-183.082
256.617,-208.459
256.626,-243.417
256.640,-165.260
256.647,-249.095
256.656,-182.680
256.679,-208.325
256.681,-243.283
256.690,-165.410
256.696,-249.229
256.708,-183.082
256.716,-207.923
256.728,-244.372
256.738,-166.348
256.746,-249.631
256.759,-184.439
256.766,-208.191
256.788,-244.908
256.789,-166.348
256.798,-249.363
256.806,-184.305
256.818,-208.057
256.834,-245.176
256.838,-165.410
256.848,-249.229
256.857,-184.305
256.867,-207.655
256.877,-245.042
256.896,-164.858
256.898,-248.961
256.906,-184.707
256.920,-206.985
256.927,-245.176
256.946,-165.410
256.948,-249.229
256.957,-184.975
256.966,-207.521
256.977,-245.846
256.986,-166.080
256.997,-249.497
257.017,-185.511
257.018,-206.851
257.030,-245.712
257.040,-164.858
257.046,-248.559
257.066,-185.511
257.067,-206.298
257.078,-245.712
257.088,-164.992
257.096,-248.559
257.106,-185.779
257.126,-205.896
257.128,-245.712
257.138,-164.322
257.147,-247.873
257.157,-185.779
257.177,-206.030
257.177,-246.131
257.187,-164.590
257.199,-248.559
257.206,-186.466
257.216,-206.164
257.235,-246.801
257.237,-165.126
257.248,-248.291
257.257,-186.734
257.266,-205.226
257.282,-246.935
257.287,-164.858
257.297,-247.873
257.306,-186.600
257.316,-205.762
257.326,-247.471
257.343,-165.126
257.348,-248.693
257.358,-187.538
257.367,-205.896
257.376,-247.471
257.394,-164.992
257.397,-248.007
257.407,-188.358
257.417,-204.958
257.426,-247.203
257.436,-164.992
257.452,-247.605
257.456,-187.672
257.467,-204.958
257.477,-247.739
257.486,-165.126
257.500,-247.739
257.509,-187.940
257.520,-205.092
257.530,-248.559
257.537,-165.544
257.546,-248.141
257.556,-188.492
257.575,-204.003
257.576,-248.007
257.586,-164.858
257.599,-247.203
257.606,-188.074
257.626,-203.601
257.627,-247.471
257.636,-164.188
257.648,-247.203
257.657,-188.626
257.666,-204.003
257.676,-249.229
257.687,-165.126
257.699,-247.203
257.709,-189.028
257.716,-203.869
257.730,-248.961
257.736,-162.831
257.748,-247.069
257.759,-189.832
257.768,-203.869
257.779,-248.961
257.786,-164.724
257.808,-246.935
257.808,-189.698
257.818,-203.467
257.826,-248.827
257.839,-164.322
257.846,-246.533
257.858,-189.028
257.868,-202.931
257.877,-249.363
257.888,-164.724
257.897,-246.935
257.914,-189.698
257.917,-202.663
257.930,-249.095
257.939,-164.322
257.946,-245.997
257.966,-189.296
257.968,-201.575
257.979,-249.363
257.989,-164.188
257.997,-246.399
258.007,-190.101
258.022,-202.797
258.027,-249.363
258.038,-164.322
258.047,-245.444
258.056,-190.653
258.072,-202.111
258.077,-250.034
258.087,-164.456
258.097,-245.846
258.106,-190.921
258.116,-201.039
258.131,-249.363
258.136,-163.116
258.147,-245.712
258.157,-191.055
258.166,-201.575
258.181,-249.899
258.189,-164.992
258.197,-246.265
258.208,-191.725
258.216,-201.173
258.226,-250.586
258.239,-164.724
258.251,-245.712
258.257,-191.055
258.266,-201.039
258.276,-250.586
258.289,-164.188
258.299,-245.310
258.308,-191.591
258.319,-200.905
258.326,-250.720
258.336,-164.188
258.349,-245.444
258.358,-191.859
258.367,-200.905
258.379,-251.122
258.398,-171.608
258.400,-245.176
258.409,-192.797
258.417,-200.235
258.426,-251.122
258.436,-163.920
258.458,-244.640
258.459,-192.797
258.469,-200.369
258.478,-251.390
258.488,-164.188
258.496,-244.908
258.506,-192.529
258.517,-199.966
258.527,-251.256
258.539,-163.786
258.546,-244.774
258.566,-193.082
258.567,-199.682
258.577,-251.390
258.590,-163.786
258.597,-244.104
258.616,-193.484
258.619,-199.816
258.628,-251.524
258.641,-172.295
258.648,-245.176
258.658,-223.585
258.676,-199.966
258.678,-251.390
258.686,-164.322
258.700,-244.640
258.707,-194.422
258.726,-199.280
258.728,-251.792
258.740,-163.920
258.750,-244.372
258.759,-228.576
258.766,-199.414
258.786,-252.194
258.787,-164.188
258.800,-244.238
258.806,-194.154
258.817,-199.146
258.837,-252.060
258.838,-164.322
258.847,-244.238
258.860,-194.422
258.868,-199.012
258.877,-252.328
258.894,-164.322
258.896,-243.551
258.908,-195.226
258.918,-198.744
258.926,-252.194
258.944,-164.188
258.947,-243.417
258.958,-194.824
258.968,-198.074
258.976,-252.194
258.986,-164.590
259.001,-243.836
259.007,-195.645
259.016,-197.806
259.027,-252.730
259.036,-164.322
259.050,-243.149
259.059,-195.377
259.067,-197.521
259.079,-253.015
259.086,-164.188
259.096,-244.238
259.110,-196.315
259.118,-197.521
259.127,-252.730
259.138,-164.188
259.146,-243.015
259.161,-195.913
259.167,-197.806
259.176,-253.015
259.188,-164.456
259.196,-243.551
259.206,-196.851
259.219,-197.521
259.228,-253.417
259.238,-164.322
259.249,-243.015
259.256,-196.851
259.268,-196.985
259.278,-253.551
259.287,-164.188
259.299,-243.015
259.307,-197.253
259.328,-197.253
259.330,-253.417
259.339,-163.920
259.348,-242.747
259.359,-197.253
259.366,-196.583
259.378,-253.819
259.388,-164.188
259.397,-242.881
259.408,-197.806
259.416,-196.583
259.435,-254.087
259.438,-164.590
259.451,-242.345
259.459,-197.672
259.468,-195.913
259.485,-253.685
259.489,-164.188
259.497,-242.881
259.507,-198.878
259.518,-196.315
259.527,-253.551
259.536,-164.456
259.555,-242.345
259.557,-197.521
259.568,-195.377
259.577,-253.819
259.589,-163.652
259.596,-242.211
259.607,-198.476
259.616,-195.377
259.629,-253.551
259.637,-164.188
259.646,-241.943
259.666,-198.342
259.668,-194.824
259.681,-255.176
259.686,-164.188
259.698,-242.345
259.706,-199.414
259.718,-194.958
259.727,-254.087
259.740,-163.384
259.746,-240.720
259.756,-199.280
259.775,-194.154
259.777,-253.685
259.789,-163.786
259.799,-240.720
259.807,-199.280
259.825,-194.958
259.826,-254.355
259.839,-163.652
259.847,-241.122
259.856,-199.682
259.866,-194.556
259.882,-254.891
259.887,-164.322
259.897,-241.943
259.909,-201.039
259.916,-194.020
259.931,-254.891
259.936,-164.724
259.947,-241.256
259.957,-203.735
259.966,-193.886
259.976,-255.025
259.990,-164.456
260.001,-240.720
260.007,-200.637
260.017,-194.020
260.026,-254.891
260.040,-164.322
260.047,-240.854
260.059,-201.441
260.067,-193.350
260.076,-254.891
260.097,-164.590
260.099,-240.720
260.109,-201.441
260.118,-193.350
260.127,-255.176
260.136,-164.724
260.149,-240.720
260.159,-201.977
260.166,-193.082
260.180,-255.846
260.186,-164.724
260.206,-240.720
260.208,-202.529
260.218,-193.082
260.227,-255.846
260.238,-164.724
260.246,-240.050
260.258,-202.261
260.270,-191.993
260.276,-255.310
260.288,-164.724
260.296,-240.050
